rank,platform,account,views,likes,comments,shares,engagement_rate,description,hashtags,duration_secs,url,viral_score
1,Instagram,iceicejojo_,499189,6612,187,0,1.36,"Ready for Smow, sick of the dust bowl 🥶 #farmlife #coldplunge #reels",#farmlife #coldplunge #reels,17,https://www.instagram.com/p/DCMTDuCpE-4/,4.64
2,TikTok,icebarrel,441700,6923,61,320,1.65,Do your hands & feet hurt in cold water? Its called Vasoconstriction 🧊🥶,,30,https://www.tiktok.com/@icebarrel/video/7178974316334255402,17.48
3,Instagram,reliant.fitness,234412,12849,241,0,5.58,"Out with the old. In with the new 🛀

Bring sanctuary to your home or business with @thecoldplungestore ❄️❄️❄️

Super stoked to properly announce teaming up with @thecoldplungestore and the arrival of ",#cold #coldplunge #icebath #howto #mindset #recovery #coldtherapy #grwm #fitness,65,https://www.instagram.com/p/C6CAiXvPo-3/,2.28
4,Instagram,reliant.fitness,144951,5357,55,0,3.73,"@thecoldplungestore is having a BIG BLACK FRIDAY sale over the next 3 days‼️

Hurry over to their page/website to view the discounts on available cold plunge units 🌊

I currently use the Embrace Limit",,38,https://www.instagram.com/p/DC2yvdnv6Fd/,1.41
5,Instagram,iceicejojo_,74978,5770,194,0,7.95,Facing a fear I didn’t see coming😭 #creepy #funny #coldplunge,#creepy #funny #coldplunge,25,https://www.instagram.com/p/DAN5eNVJDP2/,0.7
6,TikTok,tryicebath,74400,745,14,54,1.09,"Sumpah function mandi ice sejuk macam ni 😭

6 Kebaikan Mandi Ais 🥶
✅ Recovery Muscle Pain
✅ Kurangkan Stress & Anxiety
✅ Melancarkan Pengaliran Darah
✅ Kuatkan Mental
✅ Rasa Super Fresh
✅ Meningkatkan",,21,https://www.tiktok.com/@tryicebath/video/7330095142944165127,4.93
7,Instagram,iceicejojo_,71233,6561,219,0,9.52,Trying to feel normal is a struggle sometimes! #coldplunge #tips #icebath,#coldplunge #tips #icebath,12,https://www.instagram.com/p/C_p7HBYOtOx/,0.66
8,Instagram,iceicejojo_,71041,5655,163,0,8.19,Casual corn field cold plunge 🌽🥶 take the plunge anywhere with the Embrace Beginnings on Thecoldplungestore.com code: JojoSnow for a discount❤️,,18,https://www.instagram.com/p/DB6NZWXJk5U/,0.66
9,Instagram,iceicejojo_,70675,5876,184,0,8.57,Forgot my thrower 🤣 #farmlife #coldplunge #ivebath,#farmlife #coldplunge #ivebath,18,https://www.instagram.com/p/DBD_SpEJJmc/,0.66
10,Instagram,iceicejojo_,69309,4345,127,0,6.45,I’m gonna need to regulate after all that 😂 #coldplunge #funny #animals,#coldplunge #funny #animals,21,https://www.instagram.com/p/DCeUCkTp7Cx/,0.64
11,Instagram,morozkoforge,66578,781,33,0,1.22,"Epsom salts make ice baths better. Why? One of the reasons is that it breaks up the hard ice in the ice bath, giving it a slushy like texture. You can also  absorb the magnesium in epsom salts through",,85,https://www.instagram.com/p/DEqlZj2ydMS/,5.21
12,Instagram,jimmyqueen,56925,1856,41,0,3.33,"🏆OFFICIALLY ON THE TEAM🏆
🧊 @thecoldplungestore 🧊
I’ve used the same tub I got from Home Depot back in 2019 and am beyond stoked to have upgraded. Buying all the ice and trying to clean that old tub ju",#coldplunge #icebath #recovery #gamechanger #thecoldplungestore #healing #health #lifestyle,89,https://www.instagram.com/p/C_04wL8yQu-/,1.0
